action,id,display_name,canonical_name,muscle,equipment,archetype,cameron_sets,cameron_workouts,last_used,proposed_canonical,notes
hide,seed-Cable_Incline_Pushdown,,cable incline pushdown,lats,cable,straight_arm_pulldown,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Incline_Triceps_Extension,,cable incline triceps extension,triceps,cable,overhead_triceps_extension,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Internal_Rotation,,cable internal rotation,shoulders,cable,rear_delt_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Iron_Cross,,cable iron cross,chest,cable,chest_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Judo_Flip,,cable judo flip,abdominals,cable,russian_twist,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Lying_Triceps_Extension,,cable lying triceps extension,triceps,cable,skullcrusher,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_One_Arm_Tricep_Extension,,cable one arm tricep extension,triceps,cable,triceps_pushdown,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Preacher_Curl,,cable preacher curl,biceps,cable,preacher_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Rear_Delt_Fly,,cable rear delt fly,shoulders,cable,rear_delt_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Reverse_Crunch,,cable reverse crunch,abdominals,cable,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Rope_Rear-Delt_Rows,,cable rope rear-delt rows,shoulders,cable,face_pull,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Russian_Twists,,cable russian twists,abdominals,cable,russian_twist,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Seated_Crunch,,cable seated crunch,abdominals,cable,cable_crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Shoulder_Press,,cable shoulder press,shoulders,cable,shoulder_press,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Shrugs,,cable shrugs,traps,cable,shrug,0,0,,,unused by Cameron and not a staple
hide,seed-Cable_Wrist_Curl,,cable wrist curl,forearms,cable,wrist_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Calf-Machine_Shoulder_Shrug,,calf-machine shoulder shrug,traps,machine,shrug,0,0,,,unused by Cameron and not a staple
hide,seed-Calf_Press,,calf press,calves,machine,standing_calf_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Calf_Raise_On_A_Dumbbell,,calf raise on a dumbbell,calves,dumbbell,standing_calf_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Calf_Raises_-_With_Bands,,calf raises - with bands,calves,bands,standing_calf_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Calf_Stretch_Elbows_Against_Wall,,calf stretch elbows against wall,calves,,standing_calf_raise,0,0,,,stretch/SMR row
hide,seed-Calf_Stretch_Hands_Against_Wall,,calf stretch hands against wall,calves,,standing_calf_raise,0,0,,,stretch/SMR row
hide,seed-Calves-SMR,,calves-smr,calves,foam roll,standing_calf_raise,0,0,,,stretch/SMR row
hide,seed-Car_Deadlift,,car deadlift,quadriceps,other,deadlift,0,0,,,niche/unused category
hide,seed-Car_Drivers,,car drivers,shoulders,barbell,front_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Carioca_Quick_Step,,carioca quick step,adductors,,running,0,0,,,niche/unused category
hide,seed-Cat_Stretch,,cat stretch,lower back,,squat,0,0,,,stretch/SMR row
hide,seed-Catch_and_Overhead_Throw,,catch and overhead throw,lats,medicine ball,running,0,0,,,niche/unused category
hide,seed-Chain_Handle_Extension,,chain handle extension,triceps,other,triceps_pushdown,0,0,,,unused by Cameron and not a staple
hide,seed-Chain_Press,,chain press,chest,other,bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Chair_Leg_Extended_Stretch,,chair leg extended stretch,hamstrings,other,squat,0,0,,,stretch/SMR row
hide,seed-Chair_Lower_Back_Stretch,,chair lower back stretch,lats,,squat,0,0,,,stretch/SMR row
hide,seed-Chair_Squat,,chair squat,quadriceps,machine,squat,0,0,,,unused by Cameron and not a staple
hide,seed-Chair_Upper_Body_Stretch,,chair upper body stretch,shoulders,other,squat,0,0,,,stretch/SMR row
hide,seed-Chest_And_Front_Of_Shoulder_Stretch,,chest and front of shoulder stretch,chest,other,push_up,0,0,,,stretch/SMR row
hide,seed-Chest_Push_from_3_point_stance,,chest push from 3 point stance,chest,medicine ball,push_up,0,0,,,niche/unused category
hide,seed-Chest_Push_multiple_response,,chest push (multiple response),chest,medicine ball,push_up,0,0,,,niche/unused category
hide,seed-Chest_Push_single_response,,chest push (single response),chest,medicine ball,push_up,0,0,,,niche/unused category
hide,seed-Chest_Push_with_Run_Release,,chest push with run release,chest,medicine ball,push_up,0,0,,,niche/unused category
hide,seed-Chest_Stretch_on_Stability_Ball,,chest stretch on stability ball,chest,exercise ball,push_up,0,0,,,stretch/SMR row
hide,seed-Childs_Pose,,child's pose,lower back,,squat,0,0,,,stretch/SMR row
hide,seed-Chin_To_Chest_Stretch,,chin to chest stretch,neck,,squat,0,0,,,stretch/SMR row
hide,seed-Circus_Bell,,circus bell,shoulders,other,shoulder_press,0,0,,,niche/unused category
hide,seed-Clean,,clean,hamstrings,barbell,power_clean,0,0,,,unused by Cameron and not a staple
hide,seed-Clean_Deadlift,,clean deadlift,hamstrings,barbell,deadlift,0,0,,,unused by Cameron and not a staple
hide,seed-Clean_Pull,,clean pull,quadriceps,barbell,power_clean,0,0,,,unused by Cameron and not a staple
hide,seed-Clean_Shrug,,clean shrug,traps,barbell,shrug,0,0,,,unused by Cameron and not a staple
hide,seed-Clean_and_Jerk,,clean and jerk,shoulders,barbell,clean_and_press,0,0,,,unused by Cameron and not a staple
hide,seed-Clean_and_Press,,clean and press,shoulders,barbell,clean_and_press,0,0,,,unused by Cameron and not a staple
hide,seed-Clean_from_Blocks,,clean from blocks,quadriceps,barbell,power_clean,0,0,,,unused by Cameron and not a staple
hide,seed-Clock_Push-Up,,clock push-up,chest,body only,push_up,0,0,,,unused by Cameron and not a staple
hide,seed-Close-Grip_Dumbbell_Press,,close-grip dumbbell press,triceps,dumbbell,close_grip_bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Close-Grip_EZ-Bar_Curl_with_Band,,close-grip ez-bar curl with band,biceps,e-z curl bar,biceps_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Close-Grip_EZ-Bar_Press,,close-grip ez-bar press,triceps,e-z curl bar,close_grip_bench_press,0,0,,,unused by Cameron and not a staple
hide,seed-Close-Grip_EZ_Bar_Curl,,close-grip ez bar curl,biceps,barbell,biceps_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Close-Grip_Front_Lat_Pulldown,,close-grip front lat pulldown,lats,cable,lat_pulldown,0,0,,,unused by Cameron and not a staple
hide,seed-Close-Grip_Push-Up_off_of_a_Dumbbell,,close-grip push-up off of a dumbbell,triceps,body only,push_up,0,0,,,unused by Cameron and not a staple
hide,seed-Close-Grip_Standing_Barbell_Curl,,close-grip standing barbell curl,biceps,barbell,biceps_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Cocoons,,cocoons,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Conans_Wheel,,conan's wheel,quadriceps,other,running,0,0,,,niche/unused category
hide,seed-Concentration_Curls,,concentration curls,biceps,dumbbell,concentration_curl,0,0,,,unused by Cameron and not a staple
hide,seed-Cross-Body_Crunch,,cross-body crunch,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Cross_Over_-_With_Bands,,cross over - with bands,chest,bands,chest_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Crossover_Reverse_Lunge,,crossover reverse lunge,lower back,,lunge,0,0,,,stretch/SMR row
hide,seed-Crucifix,,crucifix,shoulders,other,lateral_raise,0,0,,,niche/unused category
hide,seed-Crunch_-_Hands_Overhead,,crunch - hands overhead,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Crunch_-_Legs_On_Exercise_Ball,,crunch - legs on exercise ball,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Crunches,,crunches,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Cuban_Press,,cuban press,shoulders,dumbbell,shoulder_press,0,0,,,unused by Cameron and not a staple
hide,seed-Dancers_Stretch,,dancer's stretch,lower back,,squat,0,0,,,stretch/SMR row
hide,seed-Dead_Bug,,dead bug,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Deadlift_with_Bands,,deadlift with bands,lower back,barbell,deadlift,0,0,,,unused by Cameron and not a staple
hide,seed-Deadlift_with_Chains,,deadlift with chains,lower back,barbell,deadlift,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Barbell_Bench_Press,,decline barbell bench press,chest,barbell,decline_press,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Close-Grip_Bench_To_Skull_Crusher,,decline close-grip bench to skull crusher,triceps,barbell,skullcrusher,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Crunch,,decline crunch,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Dumbbell_Bench_Press,,decline dumbbell bench press,chest,dumbbell,decline_press,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Dumbbell_Flyes,,decline dumbbell flyes,chest,dumbbell,decline_chest_fly,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Dumbbell_Triceps_Extension,,decline dumbbell triceps extension,triceps,dumbbell,skullcrusher,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_EZ_Bar_Triceps_Extension,,decline ez bar triceps extension,triceps,barbell,skullcrusher,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Oblique_Crunch,,decline oblique crunch,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Push-Up,,decline push-up,chest,,decline_push_up,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Reverse_Crunch,,decline reverse crunch,abdominals,body only,crunch,0,0,,,unused by Cameron and not a staple
hide,seed-Decline_Smith_Press,,decline smith press,chest,machine,decline_press,0,0,,,unused by Cameron and not a staple
hide,seed-Deficit_Deadlift,,deficit deadlift,lower back,barbell,deadlift,0,0,,,unused by Cameron and not a staple
hide,seed-Depth_Jump_Leap,,depth jump leap,quadriceps,other,box_jump,0,0,,,niche/unused category
hide,seed-Dip_Machine,,dip machine,triceps,machine,triceps_dip,0,0,,,unused by Cameron and not a staple
hide,seed-Dips_-_Chest_Version,,dips - chest version,chest,other,chest_dip,0,0,,,unused by Cameron and not a staple
hide,seed-Dips_-_Triceps_Version,,dips - triceps version,triceps,body only,triceps_dip,0,0,,,unused by Cameron and not a staple
hide,seed-Donkey_Calf_Raises,,donkey calf raises,calves,other,donkey_calf_raise,0,0,,,unused by Cameron and not a staple
hide,seed-Double_Kettlebell_Alternating_Hang_Clean,,double kettlebell alternating hang clean,hamstrings,kettlebells,power_clean,0,0,,,unused by Cameron and not a staple
hide,seed-Double_Kettlebell_Jerk,,double kettlebell jerk,shoulders,kettlebells,clean_and_press,0,0,,,unused by Cameron and not a staple
hide,seed-Double_Kettlebell_Push_Press,,double kettlebell push press,shoulders,kettlebells,shoulder_press,0,0,,,unused by Cameron and not a staple
hide,seed-Double_Kettlebell_Snatch,,double kettlebell snatch,shoulders,kettlebells,snatch,0,0,,,unused by Cameron and not a staple
hide,seed-Double_Kettlebell_Windmill,,double kettlebell windmill,abdominals,kettlebells,russian_twist,0,0,,,unused by Cameron and not a staple
hide,seed-Double_Leg_Butt_Kick,,double leg butt kick,quadriceps,body only,box_jump,0,0,,,niche/unused category
